,Lounge Name,Airport,Type Of Lounge,Date Visit,Type Of Traveller,Comfort,Cleanliness,Bar & Beverages,Catering,Washrooms,Staff Service,Recommended,Wifi Connectivity,reviews
0,Business Class,Barbados Grantley Adams Airport,Business Class,March 2024,Business,3.0,3.0,3.0,3.0,1.0,3.0,yes,,"✅ Trip Verified |  The lounge is clean but the seats are worn, and there is not enough space to accommodate all the passengers travelling in Club and those with silver and having access to the lounge. Nothing wrong, decent sandwiches but no hot food only soup, decent choice of alcoholic beverages and acceptable wines. Service with a smile. vOnly a shame the restrooms are extremely basic and not very clean."
1,,London Heathrow Airport,Business Class,December 2023,Business,5.0,5.0,4.0,5.0,5.0,5.0,yes,5.0,"✅ Trip Verified |  The lounge is very spacious with a wide variety of areas to sit and a kids play area. Food was amazing with hot cooked foods at breakfast. Alcoholic beverages were limited to wine / sparking wine as it was morning. Very clean and showers are available, which was great after connecting from an overnight flight from New York. Staff were welcoming and friendly."
2,South Terminal,London Gatwick Airport,Business Class,September 2023,Business,1.0,1.0,2.0,2.0,1.0,1.0,no,3.0,"✅ Trip Verified |  Tatty and uncared for, the BA business lounge in Gatwick South Terminal seems to be unloved and uncared for. The staff try hard but there is little loyalty (they do not work for BA) Information on flights is scarce due to them not working direct and on one occasion they were told by BA to “stop bothering them” when they were trying to ascertain the status of a much delayed flight. Despite the flight having been delayed for over five hours the customers were kicked out of the lounge two hours before boarding as it was closing. I would certainly never fly with this truly rotten and totally incompetent airline again."
3,First Lounge - T5,London Heathrow Airport,First Class,,,2.0,2.0,3.0,2.0,1.0,2.0,no,2.0,"✅ Trip Verified |  Crowded or rather ""overcrowded"" as usual. The catering staff in the lounge are nice, polite and helpful - in contrast to the reception BA staff who are rude, abrasive and have no right to be facing customers. The toilets are terrible, long queues to access one, no urinals so all men have to queue up for the single toilets. As with so many other parts of the famous BA cost-cutting, all magazines and newspapers have not been returned after Covid, and this is now a further drop in standards. Food is okay, but hot food is real canteen style and not a match on many airlines first class standards. To call this a ""First"" lounge is a disgrace, and you are probably better off going to one of the restaurants in the main departure hall. And one thing you will note, Heathrow public toilets are nicer and kept cleaner than the BA lounge facilities. "
4,T5 Galleries South,London Heathrow Airport,Business Class,June 2023,Business,4.0,4.0,5.0,5.0,4.0,,yes,,"✅ Trip Verified |  Flew London to Kalamata and as a Silver/Saphire member used the Galleries South Lounge. COVID had meant that food offerings had been stripped back to a bare minimum, but I am pleased that a full service has been resumed. Quite busy but found two comfortable seats easily enough. Had a decent full English breakfast with a glass of champagne and very good cup or two of coffee. Much better, BA."
5,Terminal 5 South Lounge,London Heathrow Airport,Business Class,April 2023,Business,1.0,1.0,1.0,,1.0,1.0,no,,"✅ Trip Verified |  We were at The British Airways Terminal 5 South Business Lounge at Heathrow Airport on the evening of April 24, 2023. We were shocked to see not one but three mice running under and around our chairs and table. The wait staff told me the lounge is infested with mice and that British Airways and Heathrow Airport have known about this for months. I was so disgusted that I left. I was then told by a flight attendant that their crew lounge is also infested with mice. Lastly, I was told by an airport meet and greet that the problem is not just limited to the British Air lounges. In addition to the active mice, the lounge was very dark, the tables were dirty as was the glassware. Totally disgusting and unacceptable. The health department needs to close the lounge in my opinion."
6,Arrivals,London Heathrow Airport,Business Class,April 2023,Business,3.0,3.0,4.0,4.0,2.0,1.0,no,4.0,✅ Trip Verified |  A pretty underwhelming experience. The staff on the desk to greet us were quite cold and unwelcoming. The same was true of the staff on the baggage storage desk and the shower suite desk. The shower facilities were in desperate need of refurbishment. As is the lounge in general. The food on offer was quite nice and the atmosphere was quiet and relaxed which is what we needed after a very long flight. Bottom line though is BA really need to improve the quality of their staff and give this particular lounge a refresh.
7,T5 Galleries South,London Heathrow Airport,Business Class,April 2023,Business,3.0,3.0,3.0,3.0,,3.0,no,3.0,"✅ Trip Verified |  I travelled on a weekend which I never normally do, so was taken aback by how busy the lounge was. I did find a decent seat luckily, and tried from both the breakfast and lunch menu. Both offered a decent selection of nice food and beverages. On the wine side a really ordinary Prosecco was available to self serve but you needed to order champagne. I did find a really good Sauvignon which exceeded my expectations and only wish that happened more. The staff were very good at keeping a really busy lounge not looking too distressed with the volume of customers. Generally not a bad experience but hardly outstanding, I guess you need to head to the Gulf States for that."
8,Concorde Room T5,London Heathrow Airport,First Class,March 2023,,4.0,4.0,,3.0,3.0,1.0,no,,"Not Verified |  Arrived from Johannesburg and went to the Concorde Room for breakfast. Thirty minutes after ordering nothing arrived, apparently order lost between the dining area and the kitchen. Lounge not busy so no excuse for this shoddy level of service. It was a chaotic shambles, and given that this is BA's flagship lounge it was extremely disappointing. I eventually went to the First lounge and had breakfast there. The staff in the Concorde lounge really need a refresher course, there is no excuse for getting something so straightforward wrong."
9,Escape Lounge T3,Manchester Airport,Business Class,January 2023,Business,2.0,3.0,1.0,1.0,1.0,1.0,no,,"✅ Trip Verified |  BA Business Class ticket holders access Escape Lounge, which is also a pay per use lounge. Compared with BA’s lounges around the world, this is as basic as it gets. Self service hot and cold snacks, soft drinks and tea/coffee. Alcohol on request from the bar. The wines are cheap and don’t compare to business class offerings at BA. Lounge is tidy. There’s a waste trolley on view where staff scrape dirty plates into the bin and stack dirty plates. Very off putting. Staff like to chat amongst themselves. The ‘meet and greet’ person on the lounge was glued to her chair and social media, shouting ‘Hiya’ and ‘See Ya’ every now and again. The lounge is a nice escape from the crowds downstairs with lots of charging points for devices."
